Video Title,External Video ID,Video Length,Thumbnail link,Country Code,Is Subscribed,Views,Video Likes Added,Video Dislikes Added,Video Likes Removed,User Subscriptions Added,User Subscriptions Removed,Average View Percentage,Average Watch Time,User Comments Added
🌶 Hot Topics in Tech: Data Science Explained #SHORTS,OtqQYqRNDGI,59,https://i.ytimg.com/vi/OtqQYqRNDGI/hqdefault.jpg,HK,true,23,1,0,0,2,0,0.6718703021370671,39.64034782608695,0
🌶 Hot Topics in Tech: Data Science Explained #SHORTS,OtqQYqRNDGI,59,https://i.ytimg.com/vi/OtqQYqRNDGI/hqdefault.jpg,ME,true,3,0,0,0,0,0,0.49887005649717514,29.433333333333334,0
🌶 Hot Topics in Tech: Data Science Explained #SHORTS,OtqQYqRNDGI,59,https://i.ytimg.com/vi/OtqQYqRNDGI/hqdefault.jpg,RW,true,2,0,0,0,0,0,0.6817796610169492,40.225,0
🌶 Hot Topics in Tech: Data Science Explained #SHORTS,OtqQYqRNDGI,59,https://i.ytimg.com/vi/OtqQYqRNDGI/hqdefault.jpg,US,true,979,81,6,8,16,4,0.6948540537733072,40.99638917262512,0
🌶 Hot Topics in Tech: Data Science Explained #SHORTS,OtqQYqRNDGI,59,https://i.ytimg.com/vi/OtqQYqRNDGI/hqdefault.jpg,DE,false,75,3,0,1,0,0,0.661514802259887,39.02937333333333,0
🌶 Hot Topics in Tech: Data Science Explained #SHORTS,OtqQYqRNDGI,59,https://i.ytimg.com/vi/OtqQYqRNDGI/hqdefault.jpg,ZZ,true,4,0,0,0,0,0,0.7845169491525423,46.2865,0
🌶 Hot Topics in Tech: Data Science Explained #SHORTS,OtqQYqRNDGI,59,https://i.ytimg.com/vi/OtqQYqRNDGI/hqdefault.jpg,AR,true,30,3,0,0,0,0,0.6714508474576271,39.6156,0
🌶 Hot Topics in Tech: Data Science Explained #SHORTS,OtqQYqRNDGI,59,https://i.ytimg.com/vi/OtqQYqRNDGI/hqdefault.jpg,BB,false,1,0,0,0,0,0,0.5084745762711864,30,0
🌶 Hot Topics in Tech: Data Science Explained #SHORTS,OtqQYqRNDGI,59,https://i.ytimg.com/vi/OtqQYqRNDGI/hqdefault.jpg,KZ,true,6,0,0,0,0,0,0.6493220338983051,38.31,0
🌶 Hot Topics in Tech: Data Science Explained #SHORTS,OtqQYqRNDGI,59,https://i.ytimg.com/vi/OtqQYqRNDGI/hqdefault.jpg,NP,false,12,0,0,0,0,0,0.389364406779661,22.9725,0
